"DATE","TIME PERIOD","(LFSI.M.CZ.S.UNEHRT.TOTAL0.15_74.T)"
"2003-01-31","2003Jan","7.208970"
"2003-02-28","2003Feb","7.286045"
"2003-03-31","2003Mar","7.678597"
"2003-04-30","2003Apr","7.459671"
"2003-05-31","2003May","7.845707"
"2003-06-30","2003Jun","7.774298"
"2003-07-31","2003Jul","7.755492"
"2003-08-31","2003Aug","7.890615"
"2003-09-30","2003Sep","8.146900"
"2003-10-31","2003Oct","7.932039"
"2003-11-30","2003Nov","8.193203"
"2003-12-31","2003Dec","8.370268"
"2004-01-31","2004Jan","8.283971"
"2004-02-29","2004Feb","8.689797"
"2004-03-31","2004Mar","8.301036"
"2004-04-30","2004Apr","8.317108"
"2004-05-31","2004May","8.623017"
"2004-06-30","2004Jun","8.142208"
"2004-07-31","2004Jul","8.077469"
"2004-08-31","2004Aug","8.261258"
"2004-09-30","2004Sep","8.191852"
"2004-10-31","2004Oct","8.640896"
"2004-11-30","2004Nov","8.344593"
"2004-12-31","2004Dec","7.765825"
"2005-01-31","2005Jan","8.253063"
"2005-02-28","2005Feb","8.271395"
"2005-03-31","2005Mar","7.802851"
"2005-04-30","2005Apr","8.060339"
"2005-05-31","2005May","8.076264"
"2005-06-30","2005Jun","7.796277"
"2005-07-31","2005Jul","7.724421"
"2005-08-31","2005Aug","7.795789"
"2005-09-30","2005Sep","7.839400"
"2005-10-31","2005Oct","7.927287"
"2005-11-30","2005Nov","7.809985"
"2005-12-31","2005Dec","7.887142"
"2006-01-31","2006Jan","7.912535"
"2006-02-28","2006Feb","7.357125"
"2006-03-31","2006Mar","7.883681"
"2006-04-30","2006Apr","7.306173"
"2006-05-31","2006May","6.971219"
"2006-06-30","2006Jun","7.391167"
"2006-07-31","2006Jul","7.130966"
"2006-08-31","2006Aug","6.717218"
"2006-09-30","2006Sep","7.189107"
"2006-10-31","2006Oct","6.703419"
"2006-11-30","2006Nov","6.547633"
"2006-12-31","2006Dec","6.580528"
"2007-01-31","2007Jan","6.069786"
"2007-02-28","2007Feb","5.767946"
"2007-03-31","2007Mar","5.753253"
"2007-04-30","2007Apr","5.455154"
"2007-05-31","2007May","5.433541"
"2007-06-30","2007Jun","5.447302"
"2007-07-31","2007Jul","5.129139"
"2007-08-31","2007Aug","4.943934"
"2007-09-30","2007Sep","5.208626"
"2007-10-31","2007Oct","5.025931"
"2007-11-30","2007Nov","4.703975"
"2007-12-31","2007Dec","4.997199"
"2008-01-31","2008Jan","4.634254"
"2008-02-29","2008Feb","4.538689"
"2008-03-31","2008Mar","4.502421"
"2008-04-30","2008Apr","4.255952"
"2008-05-31","2008May","4.133304"
"2008-06-30","2008Jun","4.575952"
"2008-07-31","2008Jul","4.243699"
"2008-08-31","2008Aug","4.100684"
"2008-09-30","2008Sep","4.378492"
"2008-10-31","2008Oct","4.197577"
"2008-11-30","2008Nov","4.357321"
"2008-12-31","2008Dec","4.812472"
"2009-01-31","2009Jan","5.279693"
"2009-02-28","2009Feb","5.635187"
"2009-03-31","2009Mar","5.868259"
"2009-04-30","2009Apr","6.273809"
"2009-05-31","2009May","6.634720"
"2009-06-30","2009Jun","6.522057"
"2009-07-31","2009Jul","7.005593"
"2009-08-31","2009Aug","7.453757"
"2009-09-30","2009Sep","7.363394"
"2009-10-31","2009Oct","7.341351"
"2009-11-30","2009Nov","7.398686"
"2009-12-31","2009Dec","7.379255"
"2010-01-31","2010Jan","7.828384"
"2010-02-28","2010Feb","7.917150"
"2010-03-31","2010Mar","7.613341"
"2010-04-30","2010Apr","7.370165"
"2010-05-31","2010May","7.415915"
"2010-06-30","2010Jun","7.126970"
"2010-07-31","2010Jul","7.243666"
"2010-08-31","2010Aug","7.132457"
"2010-09-30","2010Sep","6.876200"
"2010-10-31","2010Oct","7.103646"
"2010-11-30","2010Nov","7.030342"
"2010-12-31","2010Dec","6.822261"
"2011-01-31","2011Jan","6.974948"
"2011-02-28","2011Feb","7.135407"
"2011-03-31","2011Mar","6.664976"
"2011-04-30","2011Apr","6.966043"
"2011-05-31","2011May","6.911627"
"2011-06-30","2011Jun","6.721190"
"2011-07-31","2011Jul","6.620403"
"2011-08-31","2011Aug","6.433106"
"2011-09-30","2011Sep","6.608133"
"2011-10-31","2011Oct","6.521732"
"2011-11-30","2011Nov","6.557522"
"2011-12-31","2011Dec","6.489802"
"2012-01-31","2012Jan","6.578327"
"2012-02-29","2012Feb","7.133877"
"2012-03-31","2012Mar","6.888789"
"2012-04-30","2012Apr","6.827952"
"2012-05-31","2012May","7.000827"
"2012-06-30","2012Jun","6.763177"
"2012-07-31","2012Jul","6.816284"
"2012-08-31","2012Aug","7.244237"
"2012-09-30","2012Sep","6.814021"
"2012-10-31","2012Oct","7.110951"
"2012-11-30","2012Nov","7.635790"
"2012-12-31","2012Dec","7.056224"
"2013-01-31","2013Jan","6.816647"
"2013-02-28","2013Feb","7.489567"
"2013-03-31","2013Mar","7.305523"
"2013-04-30","2013Apr","6.916183"
"2013-05-31","2013May","7.275213"
"2013-06-30","2013Jun","6.665320"
"2013-07-31","2013Jul","6.629530"
"2013-08-31","2013Aug","7.187118"
"2013-09-30","2013Sep","6.952794"
"2013-10-31","2013Oct","6.564998"
"2013-11-30","2013Nov","7.062521"
"2013-12-31","2013Dec","6.736811"
"2014-01-31","2014Jan","6.499005"
"2014-02-28","2014Feb","6.534539"
"2014-03-31","2014Mar","6.678408"
"2014-04-30","2014Apr","6.283989"
"2014-05-31","2014May","6.149799"
"2014-06-30","2014Jun","6.043487"
"2014-07-31","2014Jul","5.771945"
"2014-08-31","2014Aug","6.213385"
"2014-09-30","2014Sep","5.705874"
"2014-10-31","2014Oct","5.574718"
"2014-11-30","2014Nov","6.211094"
"2014-12-31","2014Dec","5.788648"
"2015-01-31","2015Jan","5.745150"
"2015-02-28","2015Feb","5.899306"
"2015-03-31","2015Mar","5.748317"
"2015-04-30","2015Apr","5.244355"
"2015-05-31","2015May","4.926565"
"2015-06-30","2015Jun","5.003754"
"2015-07-31","2015Jul","5.003939"
"2015-08-31","2015Aug","4.692012"
"2015-09-30","2015Sep","4.795542"
"2015-10-31","2015Oct","4.576088"
"2015-11-30","2015Nov","4.479422"
"2015-12-31","2015Dec","4.579820"
"2016-01-31","2016Jan","4.312823"
"2016-02-29","2016Feb","4.212772"
"2016-03-31","2016Mar","4.072419"
"2016-04-30","2016Apr","3.932715"
"2016-05-31","2016May","3.928099"
"2016-06-30","2016Jun","4.218043"
"2016-07-31","2016Jul","4.167734"
"2016-08-31","2016Aug","3.714861"
"2016-09-30","2016Sep","3.939773"
"2016-10-31","2016Oct","3.772814"
"2016-11-30","2016Nov","3.609406"
"2016-12-31","2016Dec","3.606247"
"2017-01-31","2017Jan","3.399018"
"2017-02-28","2017Feb","3.309997"
"2017-03-31","2017Mar","3.294545"
"2017-04-30","2017Apr","3.279954"
"2017-05-31","2017May","2.953524"
"2017-06-30","2017Jun","2.860333"
"2017-07-31","2017Jul","2.848049"
"2017-08-31","2017Aug","2.673845"
"2017-09-30","2017Sep","2.695636"
"2017-10-31","2017Oct","2.671003"
"2017-11-30","2017Nov","2.371401"
"2017-12-31","2017Dec","2.286741"
"2018-01-31","2018Jan","2.578078"
"2018-02-28","2018Feb","2.312548"
"2018-03-31","2018Mar","2.075978"
"2018-04-30","2018Apr","2.313921"
"2018-05-31","2018May","2.219478"
"2018-06-30","2018Jun","2.275945"
"2018-07-31","2018Jul","2.232486"
"2018-08-31","2018Aug","2.430581"
"2018-09-30","2018Sep","2.239345"
"2018-10-31","2018Oct","2.044932"
"2018-11-30","2018Nov","1.976878"
"2018-12-31","2018Dec","2.253217"
"2019-01-31","2019Jan","2.052344"
"2019-02-28","2019Feb","1.739013"
"2019-03-31","2019Mar","2.047614"
"2019-04-30","2019Apr","2.061477"
"2019-05-31","2019May","2.079481"
"2019-06-30","2019Jun","1.766022"
"2019-07-31","2019Jul","2.132504"
"2019-08-31","2019Aug","2.066872"
"2019-09-30","2019Sep","2.062146"
"2019-10-31","2019Oct","2.191178"
"2019-11-30","2019Nov","2.159340"
"2019-12-31","2019Dec","1.933639"
"2020-01-31","2020Jan","1.998867"
"2020-02-29","2020Feb","1.801990"
"2020-03-31","2020Mar","1.850160"
"2020-04-30","2020Apr","2.170865"
"2020-05-31","2020May","2.511816"
"2020-06-30","2020Jun","2.591101"
"2020-07-31","2020Jul","3.018185"
"2020-08-31","2020Aug","2.719073"
"2020-09-30","2020Sep","2.770594"
"2020-10-31","2020Oct","3.206012"
"2020-11-30","2020Nov","2.975955"
"2020-12-31","2020Dec","3.038543"
"2021-01-31","2021Jan","3.308866"
"2021-02-28","2021Feb","3.169236"
"2021-03-31","2021Mar","3.269395"
"2021-04-30","2021Apr","3.310411"
"2021-05-31","2021May","3.106523"
"2021-06-30","2021Jun","2.747692"
"2021-07-31","2021Jul","2.652539"
"2021-08-31","2021Aug","2.820666"
"2021-09-30","2021Sep","2.549606"
"2021-10-31","2021Oct","2.481000"
"2021-11-30","2021Nov","2.164720"
"2021-12-31","2021Dec","2.174594"
"2022-01-31","2022Jan","2.338846"
"2022-02-28","2022Feb","2.542274"
"2022-03-31","2022Mar","2.239111"
"2022-04-30","2022Apr","2.478724"
"2022-05-31","2022May","2.444876"
"2022-06-30","2022Jun","2.437459"
"2022-07-31","2022Jul","2.338805"
"2022-08-31","2022Aug","2.418772"
"2022-09-30","2022Sep","2.265636"
"2022-10-31","2022Oct","2.156049"
"2022-11-30","2022Nov","2.695416"
"2022-12-31","2022Dec","2.304183"
"2023-01-31","2023Jan","2.472681"
"2023-02-28","2023Feb","2.446529"
"2023-03-31","2023Mar","2.643624"
"2023-04-30","2023Apr","2.672086"
"2023-05-31","2023May","2.461342"
"2023-06-30","2023Jun","2.760055"
"2023-07-31","2023Jul","2.735008"
"2023-08-31","2023Aug","2.494423"
"2023-09-30","2023Sep","2.686606"
